Biosample Index	Biosample	Biosample summary	Assay	Accession	Download URL	umap_raw_X	umap_raw_Y	umap_graph_X	umap_graph_Y	Experiment_name	Dummy
J000	KMS-11	KMS-11	ChIP-seq_H3K79me2_signal_p-value	ENCFF879WIV	/files/ENCFF879WIV/@@download/ENCFF879WIV.bigWig	-3.6156757000000006	-24.384886	2.4821544	-1.9833488	ChIP-seq_H3K79me2_KMS-11	0
J002	SK-N-SH	SK-N-SH	CAGE_plus_strand_signal_of_all_reads	ENCFF181DQH	/files/ENCFF181DQH/@@download/ENCFF181DQH.bigWig	-4.3010206	-23.62721	-12.063593	-6.166603	CAGE_plus_strand_SK-N-SH	0
J006	B cell	B cell female adult (27 years) and female adult (43 years)	polyA_RNA-seq_minus_strand_signal_of_all_reads	ENCFF819VCB	/files/ENCFF819VCB/@@download/ENCFF819VCB.bigWig	-1.6311189	-24.306421	3.1149185	-5.0166984	polyA_RNA-seq_minus_strand_B cell	0
J007	neurosphere	neurosphere embryo (15 weeks) originated from ganglionic eminence	microRNA-seq_minus_strand_signal_of_all_reads	ENCFF418CYD	/files/ENCFF418CYD/@@download/ENCFF418CYD.bigWig	-5.169898	-24.741432	1.6774732	5.377417	microRNA-seq_minus_strand_neurosphere	0
J008	placenta	placenta embryo (16 weeks)	microRNA-seq_plus_strand_signal_of_all_reads	ENCFF589XHC	/files/ENCFF589XHC/@@download/ENCFF589XHC.bigWig	-3.7517965	-25.329618	2.441164	-3.7800355	microRNA-seq_plus_strand_placenta	0
J010	H1-hESC	H1-hESC	ChIP-seq_REST_signal_p-value	ENCFF041JYX	/files/ENCFF041JYX/@@download/ENCFF041JYX.bigWig	-1.718284	-25.314621	1.7769209	-12.533105	ChIP-seq_REST_H1-hESC	0
J011	IMR-90	IMR-90 nuclear fraction	small_RNA-seq_plus_strand_signal_of_all_reads	ENCFF695OLT	/files/ENCFF695OLT/@@download/ENCFF695OLT.bigWig	-2.4672124	-25.801783	4.7280992999999985	-5.8277645	small_RNA-seq_plus_strand_IMR-90	0
J012	ovary	ovary female adult (51 year)	total_RNA-seq_plus_strand_signal_of_all_reads	ENCFF250KXQ	/files/ENCFF250KXQ/@@download/ENCFF250KXQ.bigWig	-1.9211096	-24.79175	4.8650392999999985	-6.931479	total_RNA-seq_plus_strand_ovary	0
J013	layer of hippocampus	layer of hippocampus female adult (75 years)	ChIP-seq_H3K27me3_signal_p-value	ENCFF055DWP	/files/ENCFF055DWP/@@download/ENCFF055DWP.bigWig	-2.6311524	-26.1321	4.679447	-5.869477	ChIP-seq_H3K27me3_layer of hippocampus	0
J014	epithelial cell of proximal tubule	epithelial cell of proximal tubule	DNase-seq_read-depth_normalized_signal	ENCFF381QMQ	/files/ENCFF381QMQ/@@download/ENCFF381QMQ.bigWig	-2.3108332000000003	-25.36184	3.0831041	-5.6843905	DNase-seq_read-depth_normalized_epithelial cell of proximal tubule	0
J015	placenta	placenta male embryo (16 weeks)	microRNA-seq_plus_strand_signal_of_all_reads	ENCFF840BJK	/files/ENCFF840BJK/@@download/ENCFF840BJK.bigWig	-2.0734138	-25.484297	4.6180367	-6.660243	microRNA-seq_plus_strand_placenta	0
J019	sigmoid colon	sigmoid colon female adult (53 years)	ChIP-seq_EP300_signal_p-value	ENCFF392YZJ	/files/ENCFF392YZJ/@@download/ENCFF392YZJ.bigWig	-4.46539	-25.453264	1.9781303	-3.883613	ChIP-seq_EP300_sigmoid colon	0
J021	esophagus	esophagus female adult (30 years)	ChIP-seq_H3K27ac_signal_p-value	ENCFF951JCX	/files/ENCFF951JCX/@@download/ENCFF951JCX.bigWig	-2.169354	-24.820072	3.4287536	-7.293077	ChIP-seq_H3K27ac_esophagus	0
J023	fibroblast of lung	fibroblast of lung male adult (45 years)	polyA_depleted_RNA-seq_plus_strand_signal_of_all_reads	ENCFF529NXW	/files/ENCFF529NXW/@@download/ENCFF529NXW.bigWig	-4.7314553	-24.917109	4.5982876	-3.4509184	polyA_depleted_RNA-seq_plus_strand_fibroblast of lung	0
J024	liver	liver female adult (25 years)	ChIP-seq_H3K9ac_signal_p-value	ENCFF994FCW	/files/ENCFF994FCW/@@download/ENCFF994FCW.bigWig	-4.193961	-25.759636	2.1336493	-4.0015464	ChIP-seq_H3K9ac_liver	0
J025	ACC112	ACC112	ChIP-seq_H3K79me2_signal_p-value	ENCFF792EYD	/files/ENCFF792EYD/@@download/ENCFF792EYD.bigWig	-4.5554476	-25.838526	-5.7853403	-2.8555083	ChIP-seq_H3K79me2_ACC112	0
J026	stomach	stomach female adult (53 years)	ChIP-seq_POLR2A_signal_p-value	ENCFF409VJA	/files/ENCFF409VJA/@@download/ENCFF409VJA.bigWig	-2.4951758	-26.448843	-0.92587095	-5.0675917	ChIP-seq_POLR2A_stomach	0
J010	H1-hESC	H1-hESC	ChIP-seq_POLR2AphosphoS5_signal_p-value	ENCFF834EMW	/files/ENCFF834EMW/@@download/ENCFF834EMW.bigWig	-3.6561918	-26.202915	3.425696	-2.3344238	ChIP-seq_POLR2AphosphoS5_H1-hESC	0
J027	subcutaneous adipose tissue	subcutaneous adipose tissue female adult (53 years)	total_RNA-seq_minus_strand_signal_of_all_reads	ENCFF555JSB	/files/ENCFF555JSB/@@download/ENCFF555JSB.bigWig	-2.6693492	-23.528366	-1.2665681	-3.3415337	total_RNA-seq_minus_strand_subcutaneous adipose tissue	0
J028	chorion	chorion male embryo (16 weeks)	ChIP-seq_H3K27ac_signal_p-value	ENCFF876IKQ	/files/ENCFF876IKQ/@@download/ENCFF876IKQ.bigWig	-3.3739026	-25.478727	2.211582	-6.905775	ChIP-seq_H3K27ac_chorion	0
J029	chorion	chorion female embryo (40 weeks)	microRNA-seq_minus_strand_signal_of_all_reads	ENCFF478LGG	/files/ENCFF478LGG/@@download/ENCFF478LGG.bigWig	-4.300309	-23.675482	2.5452197	-4.216666	microRNA-seq_minus_strand_chorion	0
J033	middle frontal area 46	middle frontal area 46 female adult (75 years)	ChIP-seq_H3K4me1_signal_p-value	ENCFF381RUM	/files/ENCFF381RUM/@@download/ENCFF381RUM.bigWig	-3.9684505	-26.223425	10.423953	-2.0156806	ChIP-seq_H3K4me1_middle frontal area 46	0
J035	HT1080	HT1080 nuclear fraction	RAMPAGE_minus_strand_signal_of_all_reads	ENCFF054ITA	/files/ENCFF054ITA/@@download/ENCFF054ITA.bigWig	-1.9765948	-24.331823	3.2273047000000004	-5.7704387000000015	RAMPAGE_minus_strand_HT1080	0
J036	transverse colon	transverse colon female adult (53 years)	ChIP-seq_CTCF_signal_p-value	ENCFF799DBR	/files/ENCFF799DBR/@@download/ENCFF799DBR.bigWig	-5.340648000000002	-23.377062	3.2941804	-4.08681	ChIP-seq_CTCF_transverse colon	0
J038	heart left ventricle	heart left ventricle male adult (34 years)	polyA_RNA-seq_minus_strand_signal_of_all_reads	ENCFF923BPR	/files/ENCFF923BPR/@@download/ENCFF923BPR.bigWig	-2.8127306	-24.264265	-0.2100875	-2.9804955	polyA_RNA-seq_minus_strand_heart left ventricle	0
J041	GM12878	GM12878	ChIP-seq_HDAC2_signal_p-value	ENCFF815UDU	/files/ENCFF815UDU/@@download/ENCFF815UDU.bigWig	-4.0373178	-25.686298	1.8233625	-5.5766163	ChIP-seq_HDAC2_GM12878	0
J024	liver	liver female adult (25 years)	ChIP-seq_H3K4me1_signal_p-value	ENCFF923IFW	/files/ENCFF923IFW/@@download/ENCFF923IFW.bigWig	-2.5504358	-26.903484	-5.2840195	-2.284961	ChIP-seq_H3K4me1_liver	0
J042	subcutaneous abdominal adipose tissue	subcutaneous abdominal adipose tissue nuclear fraction female adult (49 years)	ChIP-seq_H3K4me1_signal_p-value	ENCFF784RGZ	/files/ENCFF784RGZ/@@download/ENCFF784RGZ.bigWig	-5.004071700000001	-23.540203	4.158802	-3.5320065	ChIP-seq_H3K4me1_subcutaneous abdominal adipose tissue	0
J043	fibroblast of breast	fibroblast of breast female adult (17 years)	ChIP-seq_H3K27ac_signal_p-value	ENCFF460JLK	/files/ENCFF460JLK/@@download/ENCFF460JLK.bigWig	-2.415106	-24.386782	-2.879555	-5.6814446	ChIP-seq_H3K27ac_fibroblast of breast	0
J044	GM12878	GM12878 cytosolic fraction	polyA_RNA-seq_plus_strand_signal_of_all_reads	ENCFF472AWW	/files/ENCFF472AWW/@@download/ENCFF472AWW.bigWig	-1.440844	-25.032417	1.7141291	-12.300575	polyA_RNA-seq_plus_strand_GM12878	0
J045	myotube	myotube	ChIP-seq_CTCF_signal_p-value	ENCFF523PBP	/files/ENCFF523PBP/@@download/ENCFF523PBP.bigWig	-3.942106	-25.45681	2.0902548	-2.8913627	ChIP-seq_CTCF_myotube	0
J046	trophoblast cell	trophoblast cell originated from H1-hESC	ChIP-seq_H3K9me3_signal_p-value	ENCFF530IFQ	/files/ENCFF530IFQ/@@download/ENCFF530IFQ.bigWig	-2.0556996	-25.068222	1.9340656000000005	-12.675693	ChIP-seq_H3K9me3_trophoblast cell	0
J047	A549	A549 cytosolic fraction	small_RNA-seq_minus_strand_signal_of_all_reads	ENCFF926XYR	/files/ENCFF926XYR/@@download/ENCFF926XYR.bigWig	-4.3120513	-25.99661	10.523926	-2.0815134	small_RNA-seq_minus_strand_A549	0
J048	spleen	spleen female adult (53 years)	ChIP-seq_H3K4me1_signal_p-value	ENCFF532PXG	/files/ENCFF532PXG/@@download/ENCFF532PXG.bigWig	-2.1112044	-25.820974	4.905202	-6.9310656	ChIP-seq_H3K4me1_spleen	0
J004	K562	K562	total_RNA-seq_plus_strand_signal_of_all_reads	ENCFF423ORH	/files/ENCFF423ORH/@@download/ENCFF423ORH.bigWig	-3.3714368	-26.823969	-6.716187	-3.138084	total_RNA-seq_plus_strand_K562	0
